Date,Open,High,Low,Close,Adj Close,Volume
2013-10-08,184.399994,185.929993,173.210007,174.729996,174.729996,13757200
2016-06-24,190.050003,195.119995,189.729996,193.149994,193.149994,7026500
2018-12-06,356.01001,367.380005,350.76001,363.059998,363.059998,7842500
2012-09-12,27.9,28.58,27.799999,28.280001,28.280001,1145200
2017-07-28,336.890015,339.600006,332.51001,335.070007,335.070007,4880400
2019-03-14,292.450012,295.390015,288.290009,289.959991,289.959991,7103400
2012-09-18,31.879999,31.9,30.68,31.34,31.34,1788500
2018-01-29,339.850006,350.850006,338.279999,349.529999,349.529999,4747100
2011-01-27,24.74,25.08,24.530001,24.92,24.92,895700
2015-08-19,260.329987,260.649994,255.020004,255.25,255.25,3604300
2013-11-11,141,145.419998,137.100006,144.699997,144.699997,13997600
2016-06-13,219.5,225.770004,217.660004,217.869995,217.869995,4193000
2010-12-01,35.869999,36.419998,33.450001,34.349998,34.349998,1299200
2013-08-20,148.649994,149.779999,147,149.580002,149.580002,6418200
2011-05-18,26.1,26.469999,25.52,26.35,26.35,729500
2015-09-14,251.100006,254.25,249.669998,253.190002,253.190002,2890900
2011-01-20,24.030001,24.450001,22.370001,22.620001,22.620001,2279900
2014-10-06,259.130005,262.48999,257.799988,260.619995,260.619995,7713300
2012-05-24,31.25,31.25,29.690001,30.280001,30.280001,1075600
2014-03-18,236.949997,241.5,235.020004,240.039993,240.039993,6242300
2019-02-15,304.5,308,303.899994,307.880005,307.880005,3904900
2013-03-11,38.869999,39.439999,38.650002,39.099998,39.099998,1579500
2018-11-07,343.339996,351.179993,340.799988,348.160004,348.160004,7374500
2013-02-08,39.450001,40,39.139999,39.240002,39.240002,1139800
2011-08-26,22.709999,23.950001,22.07,23.73,23.73,761800
2016-03-16,218,222.580002,217.020004,221.929993,221.929993,3516700
2012-07-19,32.720001,33.150002,32.040001,32.27,32.27,1435900
2013-05-30,102.459999,109.540001,101.199997,104.949997,104.949997,16133700
2016-01-28,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
2013-05-07,62,62.369999,55.119999,55.509998,55.509998,9991000
2014-08-07,250.119995,256.690002,249.119995,252.389999,252.389999,7478900
2016-09-23,205.990005,210.179993,205.669998,207.449997,207.449997,2905200
2014-11-07,242.190002,242.839996,237.199997,240.199997,240.199997,5161000
2016-08-03,227.369995,229.699997,224.210007,225.789993,225.789993,3887800
2013-05-08,57.5,58.200001,55.709999,55.790001,55.790001,6769900
2017-02-06,251,257.820007,250.630005,257.769989,257.769989,3562500
2015-03-17,195.429993,198.710007,193.940002,194.729996,194.729996,4894100
2013-02-28,35.889999,36.099998,34.369999,34.830002,34.830002,1964900
2011-08-05,24.99,25.379999,22.83,24.24,24.24,1964400
2019-02-19,306.559998,311.540009,305.470001,305.640015,305.640015,4168400
2017-05-26,317.279999,325.48999,316.309998,325.140015,325.140015,7802200
2012-01-11,27.620001,28.379999,27.299999,28.23,28.23,672300
2017-08-21,345.820007,345.820007,331.850006,337.859985,337.859985,6495400
2011-10-04,23.290001,24.32,22.93,23.66,23.66,1200300
2018-11-05,340.5,343.959991,330.140015,341.399994,341.399994,7831000
2012-09-25,28.620001,29.48,27.530001,27.66,27.66,5680400
2016-05-11,207.589996,215.479996,206.050003,208.960007,208.960007,5161900
2018-12-20,327.049988,330.290009,311.869995,315.380005,315.380005,9071900
